city_name,lat,lon
Zwönitz,50.63027,12.80999
Zwingenberg,49.72389,8.61084
Zwiesel,49.01693,13.23765
Zwickau,50.72724,12.48839
Zwenkau,51.21872,12.33008
Zweibrücken,49.24686,7.36977
Zusmarshausen,48.40014,10.59917
Zülpich,50.69447,6.65414
Zschorlau,50.56667,12.65
Zschopau,50.74818,13.07691
Zossen,52.216,13.44909
Zorneding,48.08433,11.82446
Zons,51.12364,6.84468
Zittau,50.89772,14.80764
Zirndorf,49.4424,10.95414
Zimmern ob Rottweil,48.1666,8.59436
Zierenberg,51.36948,9.30164
Zeven,53.29657,9.27685
Zeuthen,52.34803,13.62174
Zeulenroda,50.65278,11.98377
Zetel,53.41667,7.98333
Zerbst,51.9662,12.08517
Zellingen,49.89737,9.81746
Zell im Wiesental,47.70555,7.85248
Zella-Mehlis,50.65642,10.66046
Zell,48.69235,8.06301
Zeitz,51.04962,12.1369
Zeitlarn,49.07848,12.11174
Zeithain,51.33356,13.33809
Zeil,50.00986,10.5947
Zehlendorf,52.43333,13.25
Zehdenick,52.97852,13.33165
Zapfendorf,50.01783,10.93243
Xanten,51.65877,6.45297
Wutöschingen,47.66019,8.36755
Wustermark,52.55,12.95
Wusterhausen,52.8912,12.46021
Wüstenrot,49.08083,9.46056
Wurzen,51.3707,12.73939
Würzburg,49.79391,9.95121
Würselen,50.81809,6.1347
Wuppertal,51.25627,7.14816
Wunstorf,52.42377,9.43585
Wunsiedel,50.03923,12.00342
Bad Wünnenberg,51.52002,8.69934
Wülfrath,51.28195,7.03821
Wriezen,52.72091,14.13425
Wörth am Rhein,49.04888,8.25959
Wörrstadt,49.84861,8.12417
Worringen,51.065,6.85936
Worpswede,53.21667,8.93333
Worms,49.63278,8.35916
Worbis,51.41997,10.3633
Woltersdorf,52.45554,13.74986
Wolnzach,48.6038,11.62568
Wolmirstedt,52.24856,11.62945
Wollmatingen,47.69226,9.14595
Wolgast,54.052,13.77105
Wolfschlugen,48.65,9.28333
Wolfsburg,52.42452,10.7815
Wolfratshausen,47.91289,11.42166
Wolfhagen,51.32611,9.17015
Wölfersheim,50.4,8.81667
Wolfenbüttel,52.16442,10.54095
Wolfen,51.66122,12.26873
Wolfach,48.29319,8.2158
Wixhausen,49.93085,8.64972
Witzenhausen,51.34103,9.8554
Wittstock,53.16118,12.48287
Wittorf,54.05653,9.96701
Wittmund,53.57674,7.77839
Wittlich,49.98596,6.89308
Wittingen,52.72694,10.73613
Wittichenau,51.38496,14.24403
Wittenburg,53.50599,11.08049
Wittenberge,53.00543,11.75032
Wittenau,52.59319,13.32127
Witten,51.44362,7.35258
Wissen,50.77915,7.73466
Wismar,53.89314,11.45286
Wirges,50.47195,7.79844
Wipperfürth,51.1161,7.39865
Winterlingen,48.18333,9.11667
Winterhude,53.59628,10.01785
Winterberg,51.19248,8.53468
Winterbach,48.79918,9.47914
Winsen,53.35753,10.21282
Winsen,52.68301,9.91362
Winnenden,48.87563,9.39819
Windsbach,49.24786,10.82651
Windischeschenbach,49.80108,12.1571
Wilthen,51.09745,14.3929
Wilsdruff,51.05199,13.53657
Wilnsdorf,50.81667,8.1
Wilmersdorf,52.48333,13.31667
Willstätt,48.54071,7.89314
Willingshausen,50.85,9.2
Willingen,51.29418,8.6091
Willich,51.26371,6.54734
Willebadessen,51.62564,9.03694
Wilkau-Haßlau,50.67504,12.51482
Wilhermsdorf,49.48308,10.71555
Wilhelmstadt,52.52379,13.18916
Wilhelmsruh,52.5871,13.36855
Wilhelmshaven,53.52998,8.11253
Wilhelmsburg,53.49973,10.01281
Wildeshausen,52.89446,8.43375
Wildberg,48.62336,8.74518
Bad Wildbad,48.75071,8.5504
Wietze,52.65,9.83333
Wietmarschen,52.51806,7.13408
Wiesmoor,53.41667,7.73333
Wiesloch,49.29504,8.69846
Wiesenburg,52.11456,12.45534
Wieseck,50.60528,8.70238
Wiesbaden,50.08258,8.24932
Wiernsheim,48.88333,8.85
Wiehl,50.9495,7.55062
Wiefelstede,53.25,8.11667
Wickede,51.4964,7.86587
Wetzlar,50.56109,8.50495
Wetzendorf,49.47056,11.04148
Wettringen,52.20939,7.31895
Wetter,51.38747,7.39277
Wetter,50.90254,8.72366
Westhausen,48.88333,10.18333
Westerstede,53.25682,7.92737
Westerrönfeld,54.27954,9.65031
Westerland,54.9079,8.30326
Westerkappeln,52.31667,7.88333
Westerburg,50.55938,7.97482
Westend,52.51708,13.27636
Weßling,48.07452,11.2482
Wesseling,50.82709,6.9747
Wesel,51.6669,6.62037
Wertingen,48.56314,10.68149
Petersberg,50.56002,9.71295
Werther,52.07771,8.41793
Wertheim,49.759,9.50852
Wersten,51.18459,6.81249
Wernigerode,51.83652,10.78216
Werneuchen,52.63275,13.73437
Werneck,49.98201,10.09884
Werne,51.66446,7.63421
Wernberg-Köblitz,49.53931,12.1613
Wernau,48.69306,9.41533
Wermsdorf,51.28333,12.95
Wermelskirchen,51.1397,7.21583
Werlte,52.85,7.68333
Werl,51.55493,7.91403
Werdohl,51.26011,7.76608
Werder,52.37874,12.934
Werdau,50.73604,12.37534
Wenzenbach,49.07561,12.19954
Wentorf bei Hamburg,53.5,10.25
Wennigsen,52.27404,9.57287
Wendlingen am Neckar,48.67124,9.37632
Wenden,50.96667,7.86667
Wendelstein,49.3523,11.15069
Wendeburg,52.32957,10.39255
Wemding,48.87461,10.72452
Welzheim,48.87675,9.63434
Welver,51.61667,7.96667
Wellingsbüttel,53.64104,10.0798
Weitramsdorf,50.256,10.87989
Weitnau,47.64171,10.12732
Weiterstadt,49.9039,8.58874
Weißwasser,51.50403,14.64017
Weißenthurm,50.41719,7.45072
Weißenhorn,48.30501,10.16047
Weißenfels,51.20148,11.96843
Weißenburg in Bayern,49.03095,10.97221
Weissach,48.84687,8.92828
Weiskirchen,49.55,6.81667
Weisendorf,49.62283,10.82531
Weinstadt-Endersbach,48.81311,9.36387
Weinsberg,49.15127,9.28762
Weinheim,49.54887,8.66697
Weingarten,49.05457,8.52678
Weingarten,47.81009,9.63863
Weinböhla,51.16667,13.56667
Weimar,50.9803,11.32903
Weilmünster,50.43143,8.37673
Weil im Schönbuch,48.6227,9.06355
Weilheim an der Teck,48.61572,9.53751
Weilheim,47.84147,11.15484
Weilerswist,50.75292,6.84585
Weil der Stadt,48.74953,8.87176
Weilburg,50.48438,8.26249
Weil am Rhein,47.59331,7.62082
Weikersheim,49.47866,9.89977
Weiden,49.67682,12.15613
Weida,50.77449,12.06028
Weißensee,52.55632,13.46649
Wehrheim,50.3,8.56667
Wehrda,50.83814,8.7556
Wehr,47.62983,7.90423
Wegscheid,48.60136,13.78733
Wegberg,51.14221,6.28436
Weeze,51.62678,6.19792
Weener,53.16332,7.35052
Wedel,53.58374,9.69835
Wedding,52.54734,13.35594
Wathlingen,52.5369,10.15069
Wassertrüdingen,49.04328,10.59906
Wasserburg am Inn,48.0525,12.22341
Wassenberg,51.10009,6.15484
Warstein,51.44488,8.34851
Warnemünde,54.1767,12.08402
Warendorf,51.95109,7.98756
Waren,53.5204,12.67985
Wardenburg,53.06667,8.2
Warburg,51.49011,9.14641
Wanzleben,52.06087,11.4408
Wannweil,48.51667,9.15
Wannsee,52.41915,13.15531
Wangen,47.6895,9.83247
Wandlitz,52.74196,13.45799
Waltrop,51.62125,7.40238
Waltershausen,50.89827,10.55791
Waltenhofen,47.67319,10.30703
Walsrode,52.86147,9.5926
Wallersdorf,48.73767,12.74744
Wallerfangen,49.32749,6.71102
Wallenhorst,52.35,8.01667
Walldürn,49.58358,9.36642
Walldorf,49.30637,8.64236
Waldstetten,48.76615,9.82135
Waldshut-Tiengen,47.62323,8.21717
Waldsee,49.39528,8.44028
Waldsassen,50.00167,12.30434
Waldmünchen,49.37804,12.70905
Waldmohr,49.38333,7.33333
Wald-Michelbach,49.57,8.83167
Waldkraiburg,48.20854,12.39893
Waldkirchen,48.7327,13.60082
Waldkirch,48.09585,7.96371
Waldkappel,51.14462,9.87695
Waldheim,51.07282,13.02004
Waldfischbach-Burgalben,49.28333,7.66667
Waldfeucht,51.0661,5.98815
Waldenbuch,48.6383,9.13256
Waldeck,51.20618,9.06286
Waldbüttelbrunn,49.78833,9.84667
Waldbröl,50.87576,7.61688
Waibstadt,49.29505,8.91771
Waiblingen,48.83241,9.31641
Wahn-Heide,50.85891,7.10662
Wahlstedt,53.95313,10.21269
Waging am See,47.93414,12.73392
Waghäusel,49.24991,8.51257
Wagenfeld,52.55,8.58333
Wadgassen,49.26667,6.78333
Wadersloh,51.73333,8.25
Wadern,49.54122,6.88774
Wächtersbach,50.25511,9.29564
Wachtendonk,51.40916,6.33894
Wachtberg,50.63333,7.1
Wabern,51.1,9.35
Waakirchen,47.7725,11.67315
Vreden,52.03792,6.828
Volksdorf,53.64972,10.18417
Volkmarsen,51.40895,9.11814
Völklingen,49.25162,6.85873
Volkach,49.86352,10.22813
Vöhringen,48.27839,10.08236
Vöhl,51.20565,8.9451
Vohenstrauß,49.62383,12.33808
Vohburg an der Donau,48.76977,11.61845
Voerde,51.59703,6.6863
Vlotho,52.1653,8.85996
Visselhövede,52.98546,9.58265
Visbek,52.83333,8.31667
Vilshofen,48.62695,13.19222
Vilseck,49.6148,11.80261
Vilsbiburg,48.45296,12.35604
Villmar,50.39287,8.1931
Villingen-Schwenningen,48.06226,8.49358
Viersen,51.25435,6.39441
Viernheim,49.54033,8.5782
Vienenburg,51.95242,10.56374
Viechtach,49.08001,12.88566
Vettweiß,50.73333,6.6
Vetschau,51.78638,14.07941
Versmold,52.04009,8.15272
Verl,51.88333,8.51667
Verden,52.92343,9.23491
Velten,52.69149,13.17533
Velen,51.89447,6.98807
Velden,48.36632,12.25596
Velburg,49.23212,11.6716
Velbert,51.33537,7.04348
Veitshöchheim,49.83278,9.88167
Veitsbronn,49.51239,10.88797
Vegesack,53.17923,8.62228
Vechta,52.72632,8.28598
Vechelde,52.26038,10.36491
Vaterstetten,48.10537,11.76825
Varel,53.39693,8.13621
Vallendar,50.39586,7.62427
Vaihingen an der Enz,48.93563,8.96045
Uetersen,53.68769,9.66394
Uslar,51.6569,9.63501
Usingen,50.33554,8.53688
Bad Urach,48.49107,9.40009
Unterschleißheim,48.28038,11.57684
Untermeitingen,48.16082,10.80694
Unterhausen,48.4298,9.25504
Unterhaching,48.06598,11.61564
Untergruppenbach,49.0894,9.27516
Untergriesbach,48.57434,13.66725
Unterföhring,48.19253,11.64293
Unterkrozingen,47.91933,7.69045
Unna,51.53795,7.68969
Umkirch,48.03333,7.76667
Ulm,48.39841,9.99155
Uhingen,48.70475,9.5857
Uffenheim,49.54415,10.23286
Uetze,52.46511,10.20467
Uerdingen,51.35478,6.63918
Uelzen,52.96572,10.56111
Uelsen,52.5,6.88333
Uedem,51.6652,6.27371
Ueckermünde,53.73795,14.04473
Überlingen,47.76977,9.17136
Überherrn,49.24187,6.6984
Übach-Palenberg,50.91775,6.12336
Twistringen,52.79926,8.64163
Twist,52.63793,7.06622
Tutzing,47.90938,11.2803
Tuttlingen,47.98464,8.8177
Türkheim,48.06401,10.64156
Tuntenhausen,47.93509,12.01518
Tungendorf,54.09878,9.9966
Tübingen,48.52266,9.05222
Trostberg an der Alz,48.02802,12.55804
Trossingen,48.07667,8.64409
Troisdorf,50.80901,7.14968
Trochtelfingen,48.30843,9.24491
Trittau,53.61667,10.4
Triftern,48.39468,13.00627
Trier,49.75565,6.63935
Triberg,48.13175,8.23317
Treuenbrietzen,52.09754,12.87258
Treuen,50.54247,12.30339
Treuchtlingen,48.95473,10.90833
Alt-Treptow,52.48863,13.4586
Trendelburg,51.57408,9.42095
Treffurt,51.13691,10.23361
Trebur,49.92639,8.40732
Trebbin,52.21675,13.22496
Travemünde,53.96304,10.8709
Traunstein,47.86825,12.64335
Traunreut,47.96269,12.59231
Trappenkamp,54.03988,10.21496
Traben-Trarbach,49.95076,7.11562
Tostedt,53.28333,9.71667
Tornesch,53.7,9.71667
Torgelow,53.63415,14.01346
Torgau,51.56016,12.99617
Tönning,54.31732,8.94096
Tönisvorst,51.32092,6.49412
Töging am Inn,48.26018,12.5846
Todtnau,47.82941,7.9438
Titz,51.00619,6.42477
Tittmoning,48.06164,12.7676
Titisee-Neustadt,47.92104,8.19063
Tirschenreuth,49.88263,12.33112
Timmendorfer Strand,53.9953,10.77676
Tiergarten,52.51667,13.36667
Tiefenbronn,48.82398,8.80129
Thum,50.67081,12.95091
Tholey,49.48374,7.03691
Tharandt,50.98525,13.58035
Thannhausen,48.28334,10.46917
Thalmässing,49.08834,11.2215
Thalheim,50.70077,12.84996
Thale,51.74861,11.041
Teutschenthal,51.45,11.8
Teublitz,49.22289,12.08727
Tettnang,47.66857,9.59132
Teterow,53.77545,12.57487
Teningen,48.12952,7.81205
Templin,53.11865,13.5022
Tempelhof,52.46667,13.4
Teltow,52.4031,13.26014
Telgte,51.97995,7.78293
Teisendorf,47.84921,12.81919
Tegel,52.57601,13.29389
Tecklenburg,52.21957,7.81357
Taunusstein,50.14993,8.15206
Taufkirchen,48.34987,12.13202
Taufkirchen,48.0486,11.61701
Taucha,51.38333,12.48333
Tauberbischofsheim,49.62472,9.66278
Tarp,54.66667,9.4
Tangstedt,53.73333,10.08333
Tangermünde,52.54463,11.97647
Tangerhütte,52.4353,11.80724
Tamm,48.91988,9.11556
Tacherting,48.07825,12.57008
Syke,52.91345,8.82209
Süßen,48.67934,9.75534
Süsel,54.08135,10.70172
Sundern,51.3281,8.00369
Sulzbach-Rosenberg,49.50126,11.74598
Sulzbach an der Murr,49.00303,9.5003
Sulzbach am Main,49.91149,9.15315
Sulzbach,50.13396,8.52797
Sulzbach,49.29882,7.05696
Sulz am Neckar,48.36241,8.63309
Sulingen,52.68373,8.80949
Suhl,50.60911,10.69401
Südlohn,51.94465,6.86723
Stuttgart,48.78232,9.17702
Stuhr,53.03333,8.75
Stühlingen,47.7458,8.44813
Strullendorf,49.84429,10.97208
Strausberg,52.57859,13.88741
Straubing,48.88126,12.57385
Strasburg,53.5103,13.74513
Stralsund,54.30911,13.0818
Straelen,51.4419,6.26639
Storkow,52.25662,13.93337
Stolzenau,52.51667,9.06667
Stolpen,51.04901,14.07943
Stollberg,50.70999,12.78034
Stolberg,50.77368,6.22595
Stockstadt am Main,49.97005,9.07153
Stockstadt am Rhein,49.80944,8.47278
Stockheim,50.30639,11.28172
Stöckheim,52.21055,10.52216
Stockelsdorf,53.8922,10.64713
Stockach,47.85105,9.0091
Steyerberg,52.57017,9.02423
Stetten am Kalten Markt,48.12419,9.07775
Stephanskirchen,47.85389,12.1856
Stendal,52.6069,11.85867
Stellingen,53.5922,9.9287
Stelle,53.38416,10.11138
Steinheim an der Murr,48.96821,9.27708
Steinheim am Albuch,48.6909,10.06382
Steinheim,51.87066,9.09136
Steinhagen,52,8.4
Steinfurt,52.15045,7.33664
Steinfeld,52.58596,8.21417
Steinenbronn,48.66667,9.11667
Steinen,47.64446,7.73914
Stein,49.41581,11.01599
Steinbach-Hallenberg,50.69624,10.56541
Steinbach am Taunus,50.16774,8.57278
Steinau an der Straße,50.31401,9.46335
Steilshoop,53.61028,10.05917
Steglitz,52.45606,13.332
Stegaurach,49.86543,10.84385
Staufenberg,50.66197,8.73158
Staßfurt,51.85186,11.58508
Starnberg,48.00193,11.34416
Stahnsdorf,52.38333,13.21667
Bad Staffelstein,50.10199,11.00128
